Equipment,Time to failure
1,2800.568684
2,4919.599083
3,4181.271329
4,22.25753479
5,2705.364728
6,2761.538524
7,4754.89724
8,6200.181842
9,394.4850714
10,1729.135679
11,2165.823943
12,5454.028447
13,2323.253469
14,984.26201
15,5256.836325
16,1009.707731
17,3504.047835
18,4053.34053
19,2301.064744
20,3835.022548
21,2837.270386
22,251.9163057
23,1437.249832
24,3226.371945
25,4262.502384
26,794.9054402
27,4793.660983
28,2457.39142
29,3783.223346
30,3373.565612
31,4406.058874
32,2262.359301
33,5163.581434
34,988.4791821
35,3236.138327
36,2617.480226
37,4341.493626
38,5033.431868
39,5383.47028
40,3757.086531
41,2704.873344
42,1753.441125
43,1264.941178
44,4807.710238
45,2273.167755
46,3280.531477
47,3612.351877
48,1602.820744
49,899.5832734
50,4885.601123
51,700.7258097
52,4322.976504
53,2619.651719
54,3398.150245
55,3921.453445
56,2964.630591
57,2711.004716
58,3787.593732
59,6078.346355
60,3449.459712
61,5773.587667
62,3205.120342
63,437.9660554
64,3123.903055
65,4642.191793
66,4016.172454
67,2007.198795
68,2175.743973
69,3647.537033
70,2940.83575
71,1680.854485
72,3163.103819
73,104.1367308
74,2449.772948
75,1753.414217
76,3067.86188
77,3610.147741
78,2021.776355
79,2983.580585
80,4112.565057
81,2848.979467
82,156.1160501
83,4946.998759
84,2989.579582
85,2728.546971
86,1828.306801
87,4903.974067
88,2975.692481
89,1900.961318
90,6096.585171
91,3041.521839
92,2722.613586
93,3441.673615
94,3095.189743
95,1287.407719
96,1061.800924
97,2830.859819
98,2591.739185
99,1911.267323
100,2460.094664
